alien_name,alien_category,planet,galaxy,product,product_family,stage,created_date,close_date,closed,setup_charge,revenue_month
"Howell, Robel and Rutherford",Frogs,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Proposal,14-Apr-14,9-May-14,No,,3590.6
"Blanda, Bernier and Tremblay",Dogs,Caliban,Messier 83,Sleek Rubber Gloves,California sorcerors,Qualification,14-Apr-14,24-Sep-14,No,,1
Morar-Schuster,Dogs,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,25-Mar-14,31-Mar-14,Yes,,15
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Oct-14,No,0,61
Ortiz Group,Foxes,Amalthea,Milky Way,Practical Granite Pants,Colorado foes,Identification,11-Apr-14,29-May-14,No,,10099.8
Stanton LLC,Ducks,Caliban,Messier 83,Sleek Rubber Gloves,California sorcerors,Qualification,11-Apr-14,12-Aug-14,No,0,20324.7
Schoen-Predovic,Foxes,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Aug-14,No,0,609.7
Raynor Group,Bees,Amalthea,Milky Way,Practical Cotton Car,Missouri prophets,Qualification,11-Apr-14,30-Jun-14,No,,0
Harris-Bogan,Kangaroos,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Identification,11-Apr-14,30-Apr-14,No,363592.3,302993.6
Walsh-O'Hara,Unknown,Callisto,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,426.8
Walsh-O'Hara,Unknown,Callisto,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Jun-14,No,0,426.8
Blanda LLC,Druids,Amalthea,Milky Way,Practical Cotton Car,Missouri prophets,Qualification,11-Apr-14,27-Aug-14,No,30299.4,15149.7
Schoen-Predovic,Foxes,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Jun-14,No,0,6097.4
Jones Group,Foxes,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Oct-14,No,52628.8,16930.4
"Goodwin, Becker and Schneider",Cattle,Adrastea,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-May-14,No,0,6097.4
Stanton LLC,Ducks,Belinda,Omega,Rustic Concrete Car,California sorcerors,Qualification,11-Apr-14,30-Jun-14,No,0,1463.4
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,61
Walsh-O'Hara,Unknown,Callisto,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Oct-14,No,1463.4,731.7
Walsh-O'Hara,Unknown,Callisto,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Jul-14,No,1097.5,585.4
Reichel-Stanton,Unknown,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,12
Reichel-Stanton,Unknown,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,4
Reichel-Stanton,Unknown,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,15
"Beatty, Stanton and Treutel",Vixens,Caliban,Messier 83,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Oct-13,No,12119.7,3029.9
Reichel-Stanton,Unknown,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,0
Reichel-Stanton,Unknown,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,0
Reichel-Stanton,Unknown,Albiorix,Andromeda,Practical Cotton Table,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,0
Reichel-Stanton,Unknown,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,21-Mar-14,31-Aug-15,No,,0
Reichel-Stanton,Unknown,Albiorix,Andromeda,Sleek Rubber Gloves,California sorcerors,Identification,21-Mar-14,31-Aug-15,No,,0
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Apr-14,No,1097.5,182.9
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Apr-14,No,0,731.7
Schmidt Inc,Bees,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,10-Mar-14,3-Nov-14,No,,7098.4
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Jan-14,No,0,457.3
"Macejkovic, Labadie and Towne",Foxes,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Qualification,11-Apr-14,16-Mar-15,No,1.2,48479
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Sep-14,No,731.7,609.7
"Howell, Robel and Rutherford",Frogs,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Closed Won,18-Mar-14,18-Mar-14,Yes,,65062.8
Rippin Group,Vixens,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Identification,11-Apr-14,27-Nov-13,No,9392.8,2795.1
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Sep-14,No,0,61
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,304.9
"Blanda, Hills and D'Amore",Dogs,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Qualification,19-Mar-14,10-Dec-14,No,,0
Hilll and Sons,Dogs,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Decision,19-Mar-14,31-May-14,No,,1500
Labadie Inc,Bees,Aoede,Centaurus A,Sleek Rubber Gloves,California sorcerors,Identification,23-Feb-14,30-Mar-15,No,,150000
Stanton LLC,Ducks,Caliban,Messier 83,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,12-May-14,No,7316.9,4146.2
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Aug-14,No,0,61
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Aug-14,No,0,61
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,61
"Turcotte, Herzog and Monahan",Horses,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,10-Mar-14,30-Nov-14,No,0,2450
"Turcotte, Herzog and Monahan",Horses,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,10-Mar-14,30-Nov-14,No,0,0
Ondricka Group,Zombies,Arche,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,25-Feb-14,1-Jun-14,No,,2700
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,61
Rohan Inc,Bees,Amalthea,Milky Way,Incredible Cotton Pants,Colorado dwarves,Identification,11-Apr-14,27-Jun-14,No,7316.9,6097.4
Wyman-King,Horses,Aitne,Centaurus A,Rustic Rubber Chair,California sorcerors,Decision,24-Mar-14,30-Apr-14,No,,500
Wyman-King,Horses,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Decision,24-Mar-14,30-Apr-14,No,,0
Wyman-King,Horses,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Decision,24-Mar-14,30-Apr-14,No,,0
Bailey Inc,Foxes,Elara,Andromeda,Rustic Rubber Chair,California sorcerors,Identification,1-Apr-14,28-Nov-14,No,,1000
"Grant, Friesen and Wuckert",Ogres,Bianca,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,8-Apr-14,30-Sep-14,No,,0
"Grant, Friesen and Wuckert",Ogres,Bianca,Centaurus A,Rustic Steel Car,Rhode Island people,Proposal,8-Apr-14,30-Sep-14,No,,0
O'Keefe-Davis,Horses,Carpo,Andromeda,Sleek Rubber Gloves,California sorcerors,Decision,13-Mar-14,30-Apr-14,No,,240
O'Keefe-Davis,Horses,Carpo,Andromeda,Rustic Rubber Chair,California sorcerors,Decision,13-Mar-14,30-Apr-14,No,,400
"Grant, Friesen and Wuckert",Ogres,Bianca,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,8-Apr-14,30-Sep-14,No,,0
"Grant, Friesen and Wuckert",Ogres,Bianca,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Proposal,8-Apr-14,30-Sep-14,No,,0
Sipes-Okuneva,Dogs,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,18-Mar-14,18-Mar-14,Yes,,210
Sipes-Okuneva,Dogs,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,18-Mar-14,18-Mar-14,Yes,,420
"O'Reilly, Sipes and Kessler",Frogs,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Qualification,20-Mar-14,31-Oct-14,No,,65000
Olson-Baumbach,Foxes,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Closed Won,28-Feb-14,28-Feb-14,Yes,,1255
Goyette-Farrell,Horses,Carpo,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,24-Feb-14,24-Feb-14,Yes,,32.8
Goyette-Farrell,Horses,Carpo,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,24-Feb-14,24-Feb-14,Yes,,109.3
"Mills, Vandervort and Franecki",Ducks,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Jul-14,No,0,17072.8
"Thompson, Friesen and Daugherty",Foxes,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-May-14,No,0,61
Ortiz Group,Foxes,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Closed Won,11-Apr-14,7-Apr-14,Yes,0,0
Crooks LLC,Bees,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,28-Jun-14,No,96957.9,30299.4
Graham-Kilback,Fishes,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Identification,11-Apr-14,31-Mar-14,No,,7069.8
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Oct-14,No,0,61
"Schiller, Becker and O'Kon",Bees,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Proposal,11-Apr-14,11-Apr-14,No,0,0
"Schiller, Becker and O'Kon",Bees,Amalthea,Milky Way,Practical Cotton Car,Missouri prophets,Proposal,11-Apr-14,11-Apr-14,No,0,0
"Schiller, Becker and O'Kon",Bees,Amalthea,Milky Way,Ergonomic Granite Chair,Colorado foes,Proposal,11-Apr-14,11-Apr-14,No,0,0
Walsh-O'Hara,Unknown,Callisto,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Jun-14,No,1463.4,731.7
Stanton LLC,Ducks,Caliban,Messier 83,Fantastic Wooden Hat,Colorado foes,Qualification,11-Apr-14,12-Aug-14,No,0,20324.7
Waelchi Group,Dogs,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-May-14,No,2423.9,101
Romaguera Inc,Dogs,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Qualification,11-Apr-14,28-May-14,No,0,30299.4
Raynor Group,Bees,Amalthea,Milky Way,Practical Cotton Car,Missouri prophets,Qualification,11-Apr-14,30-Jun-14,No,44888.9,0
Paucek LLC,Horses,Aegaeon,Andromeda,Sleek Plastic Pants,Rhode Island people,Closed Won,14-Apr-14,14-Apr-14,Yes,,4210
White and Sons,Unknown,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,130
Miller-Hane,Horses,Aegaeon,Andromeda,Rustic Steel Car,Rhode Island people,Proposal,26-Feb-14,24-Nov-14,Yes,,0
Wehner-Tillman,Unknown,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,15-Apr-14,15-Apr-14,Yes,,880
Schmeler and Sons,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,138
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Oct-14,No,1463.4,609.7
Stroman and Sons,Dogs,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Qualification,11-Apr-14,18-Apr-14,No,60598.7,8079.8
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,30-Apr-14,No,0,304.9
Heathcote LLC,Ogres,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,21-Mar-14,30-Apr-15,No,,10
Roberts Group,Bees,Belinda,Omega,Practical Granite Computer,Missouri prophets,Qualification,11-Apr-14,30-Jun-14,No,208092.5,0
Purdy Group,Dogs,Amalthea,Milky Way,Sleek Rubber Gloves,California sorcerors,Identification,11-Apr-14,1-Oct-14,No,,10099.8
Rohan Inc,Bees,Belinda,Omega,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,31-Aug-14,No,0,61
Heathcote LLC,Ogres,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,21-Mar-14,30-Apr-15,No,,0
Wuckert and Sons,Bees,Aoede,Centaurus A,Sleek Rubber Gloves,California sorcerors,Identification,11-Mar-14,15-Sep-14,No,,1000
Kutch and Sons,Bears,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,10
Kutch and Sons,Bears,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,5
Kutch and Sons,Bears,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,22
Kutch and Sons,Bears,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,0
Kutch and Sons,Bears,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,0
Kutch and Sons,Bears,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,22-Mar-14,3-Mar-15,No,,0
Legros LLC,Ducks,Aoede,Centaurus A,Ergonomic Plastic Hat,Rhode Island people,Closed Won,11-Mar-14,11-Mar-14,Yes,,209
Legros LLC,Ducks,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,11-Mar-14,11-Mar-14,Yes,,220
Legros LLC,Ducks,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,11-Mar-14,11-Mar-14,Yes,,90
Sipes LLC,Vixens,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,5-Mar-14,5-Mar-14,Yes,,105.9
Rippin Group,Vixens,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,25-Mar-14,31-Mar-14,Yes,,12.9
Renner-O'Keefe,Bears,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Closed Won,27-Mar-14,27-Mar-14,Yes,,919.6
Ruecker and Sons,Dogs,Atlas,Milky Way,Sleek Rubber Gloves,California sorcerors,Qualification,10-Mar-14,15-Jun-14,No,,0
Crona-Goyette,Vixens,Aoede,Centaurus A,Rustic Rubber Chair,California sorcerors,Closed Won,26-Mar-14,26-Mar-14,Yes,0,95.5
White and Sons,Unknown,Aitne,Centaurus A,Intelligent Steel Pants,California sorcerors,Closed Won,10-Apr-14,10-Apr-14,Yes,,569
White and Sons,Unknown,Aitne,Centaurus A,Rustic Rubber Chair,California sorcerors,Closed Won,10-Apr-14,10-Apr-14,Yes,,615
Adams-Langworth,Dogs,Amalthea,Milky Way,Practical Cotton Table,Rhode Island people,Identification,12-Mar-14,25-Aug-14,No,0,3409.9
Hauck-Stamm,Vixens,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,4200
Larkin-Ward,Kangaroos,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Identification,28-Apr-14,31-Oct-14,No,,0
"Harris, Moen and Gottlieb",Bees,Amalthea,Milky Way,Sleek Plastic Pants,Rhode Island people,Closed Won,21-Jan-14,31-Mar-14,Yes,0,106.5
Grant-Lakin,Horses,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Closed Won,10-Apr-14,5-May-14,Yes,,300
Bailey Inc,Foxes,Cyllene,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,1-Apr-14,28-Nov-14,No,,0
Bailey Inc,Foxes,Cyllene,Andromeda,Practical Cotton Table,Rhode Island people,Identification,1-Apr-14,28-Nov-14,No,,0
"Paucek, Conroy and Bednar",Horses,Aitne,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,200
"Paucek, Conroy and Bednar",Horses,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,75
"Paucek, Conroy and Bednar",Horses,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,150
Glover-Hettinger,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,19-Mar-14,15-Apr-14,Yes,,0
"Paucek, Conroy and Bednar",Horses,Aitne,Centaurus A,Practical Cotton Table,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,54
Connelly Group,Horses,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Proposal,1-Apr-14,31-Jul-14,No,,500
Connelly Group,Horses,Aoede,Centaurus A,Ergonomic Plastic Pants,Alabama chickens,Proposal,1-Apr-14,31-Jul-14,No,2,40
Connelly Group,Horses,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,1-Apr-14,31-Jul-14,No,,220
Connelly Group,Horses,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,1-Apr-14,31-Jul-14,No,,900
Crona-Goyette,Vixens,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Closed Won,7-Apr-14,7-Apr-14,Yes,3477.8,891.5
"Heathcote, Maggio and Metz",Dogs,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,19-Mar-14,2-Jun-14,No,,0
Schaefer-Hackett,Dogs,Aegaeon,Andromeda,Rustic Concrete Table,California sorcerors,Proposal,14-Apr-14,31-May-14,No,,100
Goldner LLC,Unknown,Aitne,Centaurus A,Ergonomic Plastic Hat,Rhode Island people,Proposal,1-Apr-14,30-May-14,No,,0
Goldner LLC,Unknown,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,1-Apr-14,30-May-14,No,,0
Rolfson LLC,Ducks,Aitne,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,28-Mar-14,31-Mar-14,Yes,,30
Collins Inc,Vixens,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,26-Mar-14,26-Mar-14,Yes,,820.7
Botsford Group,Horses,Enceladus,Andromeda,Ergonomic Plastic Hat,Rhode Island people,Qualification,10-Mar-14,30-Jun-14,Yes,,950
Reichert-Leffler,Dogs,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Qualification,11-Apr-14,10-Jul-14,No,,0
Sipes LLC,Vixens,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,5-Mar-14,5-Mar-14,Yes,,143.6
Botsford Group,Horses,Enceladus,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,10-Mar-14,30-Jun-14,Yes,,200
Botsford Group,Horses,Enceladus,Andromeda,Sleek Plastic Pants,Rhode Island people,Qualification,10-Mar-14,30-Jun-14,Yes,,120
"Keebler, Dietrich and Batz",Horses,Aitne,Centaurus A,Sleek Rubber Gloves,California sorcerors,Closed Won,28-Mar-14,28-Mar-14,Yes,,851
"Keebler, Dietrich and Batz",Horses,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,28-Mar-14,28-Mar-14,Yes,,678.5
O'Kon-Kihn,Horses,Amalthea,Milky Way,Ergonomic Plastic Pants,Alabama chickens,Closed Won,24-Feb-14,30-Apr-14,Yes,500,900
Watsica Inc,Ogres,Adrastea,Omega,Rustic Steel Computer,Rhode Island people,Qualification,7-Mar-14,31-Oct-14,No,,15376
Ruecker and Sons,Dogs,Despina,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,10-Mar-14,15-Jun-14,No,,0
Trantow-Witting,Foxes,Amalthea,Milky Way,Intelligent Steel Pants,California sorcerors,Decision,28-Apr-14,16-Jun-14,No,1090.8,280.5
"Herzog, Tillman and Prosacco",Horses,Albiorix,Andromeda,Rustic Rubber Chair,California sorcerors,Identification,21-Mar-14,20-Jan-15,No,,30
"Herzog, Tillman and Prosacco",Horses,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,21-Mar-14,20-Jan-15,No,,8
"Herzog, Tillman and Prosacco",Horses,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,21-Mar-14,20-Jan-15,No,,28
"Herzog, Tillman and Prosacco",Horses,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,21-Mar-14,20-Jan-15,No,,0
"Herzog, Tillman and Prosacco",Horses,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,21-Mar-14,20-Jan-15,No,,0
Ziemann Inc,Ogres,Arche,Centaurus A,Sleek Rubber Gloves,California sorcerors,Identification,10-Apr-14,10-Jul-14,No,,1600
Cummerata-Huels,Bears,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Closed Won,25-Mar-14,25-Mar-14,Yes,,90
Ernser-Nitzsche,Ogres,Aitne,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,28-Mar-14,28-Mar-14,Yes,,30
Ernser-Nitzsche,Ogres,Aitne,Centaurus A,Sleek Rubber Gloves,California sorcerors,Closed Won,28-Mar-14,28-Mar-14,Yes,,23
Adams-Langworth,Dogs,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Identification,12-Mar-14,25-Aug-14,No,0,166.4
Adams-Langworth,Dogs,Amalthea,Milky Way,Sleek Plastic Pants,Rhode Island people,Identification,12-Mar-14,25-Aug-14,No,0,58.1
Adams-Langworth,Dogs,Amalthea,Milky Way,Rustic Steel Computer,Rhode Island people,Identification,12-Mar-14,25-Aug-14,No,0,2551
"Cole, Marvin and Thiel",Bees,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,10-Mar-14,1-Sep-14,No,,2000
Wintheiser Inc,Foxes,Amalthea,Milky Way,Rustic Steel Computer,Rhode Island people,Identification,3-Mar-14,29-Jan-16,No,,0
Wintheiser Inc,Foxes,Amalthea,Milky Way,Sleek Plastic Pants,Rhode Island people,Identification,3-Mar-14,29-Jan-16,No,,0
Aufderhar-Johnson,Unknown,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,11-Mar-14,11-Mar-14,Yes,0,435.2
"Streich, Greenholt and Deckow",Bees,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Qualification,13-Mar-14,23-May-14,No,,5817.8
Russel-Crona,Horses,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,5-Mar-14,5-Mar-14,Yes,,1127.3
Kovacek-Strosin,Bees,Amalthea,Milky Way,Small Rubber Chair,Kentucky druids,Qualification,6-Mar-14,30-Jun-14,No,1,1
"Sauer, Mayert and Parker",Bees,Aitne,Centaurus A,Sleek Rubber Gloves,California sorcerors,Closed Won,31-Mar-14,31-Mar-14,Yes,0,644
"Sauer, Mayert and Parker",Bees,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,0,104.6
"Sauer, Mayert and Parker",Bees,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,0,366.1
Predovic-Harvey,Bears,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,30-Apr-14,1-Sep-14,No,,170
Predovic-Harvey,Bears,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,30-Apr-14,1-Sep-14,No,,170
Herman Inc,Horses,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,6-Mar-14,21-Mar-14,Yes,,400
Herman Inc,Horses,Aoede,Centaurus A,Sleek Rubber Gloves,California sorcerors,Closed Won,6-Mar-14,21-Mar-14,Yes,,100
Herman Inc,Horses,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,6-Mar-14,21-Mar-14,Yes,,400
Herman Inc,Horses,Aoede,Centaurus A,Intelligent Steel Pants,California sorcerors,Closed Won,6-Mar-14,21-Mar-14,Yes,65,39
Cormier LLC,Horses,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,26-Mar-14,26-Mar-14,Yes,,81.1
Bosco Group,Dogs,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,735
Bosco Group,Dogs,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,100
Bosco Group,Dogs,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,60
"Rempel, Bergnaum and Kub",Goats,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,23-Mar-14,24-Mar-14,Yes,,368
Weimann and Sons,Bees,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Qualification,28-Mar-14,30-Aug-15,No,,4500
Weimann and Sons,Bees,Amalthea,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,28-Mar-14,30-Aug-15,No,,180000
Huels Group,Ogres,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,84
Goldner LLC,Unknown,Aitne,Centaurus A,Sleek Rubber Gloves,California sorcerors,Proposal,30-Apr-14,6-Jun-14,No,2650,5280
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Practical Cotton Table,Rhode Island people,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Sleek Plastic Pants,Rhode Island people,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Rustic Rubber Chair,California sorcerors,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Sleek Rubber Gloves,California sorcerors,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Intelligent Steel Pants,California sorcerors,Proposal,3-Apr-14,4-Jul-14,No,,0
"DuBuque, Murphy and Kihn",Dogs,Carpo,Andromeda,Sleek Rubber Hat,Rhode Island people,Proposal,3-Apr-14,4-Jul-14,No,,0
